v
0,00
1,31
2,62
3,94
5,25
8,53
11,81
15,09
18,37
21,66
24,94
28,22
31,50
31,01
30,51
30,02
29,52
29,03
28,53
28,04
27,54
27,05
26,56
26,06
25,57
25,07
24,58
24,08
23,59
23,09
22,60
17,76
12,92
8,08
3,24
5,53
7,81
10,10
12,38
14,67
16,95
19,23
21,52
23,80
26,09
28,37
20,61
12,85
5,09
8,22
11,35
14,47
17,60
20,73
23,86
26,98
27,23
27,48
27,72
27,97
28,22
28,46
28,71
28,95
29,20
25,55
21,90
18,25
14,60
10,95
7,30
3,65
0,00
1,21
2,42
3,63
4,85
6,58
8,32
10,06
11,79
13,53
15,26
17,00
18,74
20,47
22,21
23,94
25,68
27,42
29,15
30,89
32,63
32,06
31,50
30,94
30,38
29,81
29,25
28,69
28,13
27,56
27,00
22,32
17,64
12,96
8,28
3,60
3,20
2,80
2,40
